movie,certificate
Touch of Evil,PG-13
Ivan's Childhood,Not Rated
The Exterminating Angel,Not Rated
The Cremator,Not Rated
"Aguirre, the Wrath of God",Not Rated
Boruto: Naruto The Movie,PG
Au hasard Balthazar,Not Rated
Diary of a Country Priest,Not Rated
500 Days of Summer,PG-13
The Quiet Girl,PG-13
When Harry Met Sally...,R
Hedwig and the Angry Inch,R
Taste of Cherry,Not Rated
Holiday,Passed
Berserk: The Golden Age Arc II - The Battle for Doldrey,TV-MA
"Ivan the Terrible, Part I",Not Rated
Despicable Me,PG
The Swimmer,M/PG
The Muppet Movie,G
"Oslo, August 31st",Not Rated
Band of Outsiders,Not Rated
Destry Rides Again,Approved
Bheja Fry,Not Rated
Talk to Me,R
"Murder, My Sweet",Approved
Sidewalls,Not Rated
The Letter,Not Rated
Monsieur Lazhar,PG-13
Luca,PG
Bagdad Cafe,PG
Man Bites Dog,NC-17
Blindspotting,R
Keith,PG-13
A Better Tomorrow,Not Rated
Curse of the Demon,Approved
Rosetta,R
The Mad Adventures of Rabbi Jacob,G
"You, the Living",Not Rated
The Child,R
Peepli [Live],Not Rated
The Road to Guantanamo,R
Easy Rider,R
Punch-Drunk Love,R
Megamind,PG
Paddington,PG
Murder by Death,PG
Uncle Frank,R
Pauline at the Beach,R
"Two Days, One Night",PG-13
The Stranger,Passed
Monsieur Ibrahim,R
A Bug's Life,G
Treasure Planet,PG
The Book of Life,PG
I Confess,Not Rated
The Sessions,R
Sweet and Lowdown,PG-13
The Bothersome Man,Not Rated
Tere Bin Laden,Not Rated
Dredd,R
Kung Fu Panda 3,PG
The Spectacular Now,R
In the Mouth of Madness,R
The Kings of Summer,R
Gantz: O,
5 to 7,R
Trees Lounge,R
45 Years,R
Venus,R
Trailer Park Boys: The Movie,R
Caramel,PG
American Pie,R
The Cabin in the Woods,R
Green Room,R
Some Kind of Wonderful,PG-13
Buried,R
Mighty Aphrodite,R
Handsome Devil,TV-MA
Juice,R
The Sure Thing,PG-13
Coffee and Cigarettes,R
Martin,R
My Dog Skip,PG
Cannibal! The Musical,R
Atlantis: The Lost Empire,PG
The Croods: A New Age,PG
What We Did on Our Holiday,PG-13
Tully,R
The Duke,R
Supernova,R
Frank,R
Rolling Thunder,R
Hallam Foe,R
The Assassination of Richard Nixon,R
Ready or Not,R
Meet the Robinsons,G
Before We Go,PG-13
Detroit Rock City,R
Penguin Bloom,TV-14
The First Time,PG-13
Serial Mom,R
How to Marry a Millionaire,Not Rated
Lymelife,R
Cemetery Junction,R
Young & Beautiful,Not Rated
Vivo,PG
Something Wicked This Way Comes,PG
Just Like Heaven,PG-13
L.A. Story,PG-13
The Air I Breathe,R
The Legend of Hell House,PG
Cypher,R
My Big Fat Greek Wedding,PG
Austin Powers: The Spy Who Shagged Me,PG-13
The Blob,R
You're Next,R
Borat Subsequent Moviefilm,R
Peter Rabbit,PG
The Company of Wolves,R
Irrational Man,R
The One and Only Ivan,PG
My Blueberry Nights,PG-13
Shattered,R
Slither,R
Due Date,R
Friday the 13th,R
Kill List,Not Rated
The Woman in Black,PG-13
Gonjiam: Haunted Asylum,Not Rated
Stand Up Guys,R
Silver Bullet,R
"JamÃ³n, JamÃ³n",Unrated
The House of the Devil,R
Shrek Forever After,PG
Night of the Comet,PG-13
Cloudy with a Chance of Meatballs 2,PG
Mr. Right,R
Osmosis Jones,PG
The Rebound,R
Freaky Friday,G
Over the Moon,PG
Psycho Goreman,Not Rated
Just Before I Go,R
Rapid Fire,R
Made,R
Mr. & Mrs. Smith,Approved
Lost Girls,R
National Lampoon's European Vacation,PG-13
The Cannonball Run,PG
Flashdance,R
Deadfall,R
Major Payne,PG-13
Feast,R
Wayne's World 2,PG-13
It's a Boy Girl Thing,PG-13
Prozac Nation,R
Impostor,PG-13
No Exit,R
The Dark and the Wicked,Not Rated
Fletch Lives,PG
Waxwork,R
A Good Old Fashioned Orgy,R
The Final Cut,PG-13
O,R
Ninja: Shadow of a Tear,R
Kidnapping Mr. Heineken,R
Hacker,R
Smart People,R
Home Team,PG
Walk of Shame,R
Lockout,PG-13
My Son,R
Beneath the Planet of the Apes,G
The Polka King,TV-14
The Tournament,R
Killshot,R
The Story of Us,R
Blind Dating,PG-13
Cocaine Bear,R
Underwater,PG-13
She's All That,PG-13
A Cinderella Story,PG
Kidnap,R
Another 48 Hrs.,R
Fortress,R
My Life in Ruins,PG-13
Blind Date,PG-13
Pathology,R
Ring 2,Not Rated
Waiting for Forever,PG-13
Cannibal Holocaust,Unrated
Masterminds,PG-13
Extinction,TV-MA
Without a Paddle,PG-13
The Wretched,Not Rated
Son in Law,PG-13
RocketMan,PG
All About the Benjamins,R
The Guilt Trip,PG-13
The Clearing,R
Operation Christmas Drop,TV-G
Novocaine,R
Good Burger,PG
Gamer,R
The Little Vampire,PG
The Nutty Professor,PG-13
Lost River,R
A Classic Horror Story,TV-MA
Sea Fever,TV-14
The Domestics,R
Ernest Saves Christmas,PG
The Holiday Calendar,TV-PG
Last Seen Alive,R
The Dark Tower,PG-13
Kicking & Screaming,PG
The Pacifier,PG
Friday the 13th Part III,R
Win a Date with Tad Hamilton!,PG-13
Maggie,PG-13
Sleepless,R
The Quest,PG-13
The Beach Bum,R
Just Married,PG-13
Diary of the Dead,R
I.T.,Not Rated
My Little Eye,R
Head of State,PG-13
Showtime,PG-13
The Out-Laws,R
Season of the Witch,PG-13
Richie Rich,PG
The Man with the Iron Fists,R
Hop,PG
American Ninja,R
8 Heads in a Duffel Bag,R
Terminal,Not Rated
Resident Evil: Retribution,R
Jade,R
Flipper,PG
The Colony,Not Rated
Tomcats,R
[REC] 4: Apocalypse,R
Mighty Morphin Power Rangers,PG
A Nightmare on Elm Street,R
Emmanuelle,Unrated
Paradise Hills,TV-14
Over Her Dead Body,PG-13
Candyman: Farewell to the Flesh,R
Free Willy 2: The Adventure Home,PG
Desert Heat,R
Air,PG-13
Say It Isn't So,R
The Romantics,PG-13
Survival Island,TV-MA
Silent Hill: Revelation,R
Black Knight,PG-13
Welcome to the Jungle,Not Rated
The Chaos Class Is Waking Up,
The Diamond Arm,Not Rated
Sunrise,Passed
Life of Brian,R
My Man Godfrey,Approved
Nosferatu,Not Rated
Three Colors: Blue,R
In a Lonely Place,Not Rated
Moonrise Kingdom,PG-13
Days of Heaven,PG
Loving Vincent,PG-13
Ninja Scroll,Not Rated
Good Morning,Not Rated
Midnight in Paris,PG-13
The Boy in the Striped Pajamas,PG-13
Badlands,PG
"What's Up, Doc?",G
Porco Rosso,PG
Adam's Apples,R
The Breadwinner,PG-13
Last Year at Marienbad,Not Rated
The Lady Eve,Passed
The Secret World of Arrietty,G
127 Hours,R
Remember,R
Ratcatcher,Not Rated
Lilies of the Field,Unrated
Sonatine,R
The Mark of Zorro,Approved
Lady Bird,R
Days of Being Wild,Not Rated
Rabbit-Proof Fence,PG
Ride the High Country,Approved
Knife in the Water,Not Rated
Raising Arizona,PG-13
United,PG-13
Clue,PG
They Live,R
Them!,Not Rated
Honey Boy,R
Strictly Ballroom,PG
Mr. Blandings Builds His Dream House,Approved
Tsotsi,R
Anchorman: The Legend of Ron Burgundy,PG-13
Anastasia,G
Little Shop of Horrors,PG-13
The Jerk,R
Rumble Fish,R
The Fly,Not Rated
Chopper,R
Shattered Glass,PG-13
Orlando,PG-13
The Abominable Dr. Phibes,PG-13
The Platform,TV-MA
Wayne's World,PG-13
Mallrats,R
Croupier,Not Rated
Vera Cruz,Approved
One Week,Not Rated
Hellraiser,R
Near Dark,R
Grandma's Boy,R
Ice Age: Dawn of the Dinosaurs,PG
Song of the South,G
Charlotte's Web,G
Ma Rainey's Black Bottom,R
Troop Zero,PG
The Babadook,Not Rated
Tenacious D in the Pick of Destiny,R
Addams Family Values,PG-13
Romper Stomper,R
The Muppets Take Manhattan,G
Taxidermia,Not Rated
The Life Ahead,PG-13
Can't Buy Me Love,PG-13
Waiting...,R
The Call,R
Cronos,R
Love Is Strange,R
Small Time Crooks,PG
The Giant Mechanical Man,PG-13
Tristram Shandy,R
Weird Science,PG-13
Causeway,R
Titan A.E.,PG
The Man Who Knew Too Little,PG
High Anxiety,PG
Wasabi,R
Animal Factory,R
Factotum,R
Eva,PG-13
Swallow,R
Home,PG
Safe,R
Cellular,PG-13
Dead & Buried,R
Stretch,R
Mood Indigo,Not Rated
Bulbbul,TV-MA
Incir ReÃ§eli,
Chained,R
Monsters vs. Aliens,PG
Monsters,R
Coogan's Bluff,R
Ginger Snaps 2: Unleashed,R
Extra Ordinary,R
Foolproof,R
Legend,PG
The Ritual,TV-MA
Diary of a Wimpy Kid: Dog Days,PG
Young Adult,R
Cat's Eye,PG-13
Prince Avalanche,R
Grabbers,Not Rated
Bodies Bodies Bodies,R
Diary of a Wimpy Kid,PG
Porky's,R
Meatballs,PG
The Visit,PG-13
6 Days,R
Austin Powers in Goldmember,PG-13
Resident Evil: Extinction,R
The Men Who Stare at Goats,R
Dick,PG-13
Astro Boy,PG
The Catcher Was a Spy,R
Twilight,R
Una,R
Wrong,Not Rated
Hotel Artemis,R
Mile 22,R
Resident Evil: Apocalypse,R
That Awkward Moment,R
Orgazmo,NC-17
Undisputed,R
Johnny Handsome,R
My Big Fat Greek Wedding 2,PG-13
Mr. Popper's Penguins,PG
Arthur and the Invisibles,PG
The Hunted,R
Hostel,R
Gone,PG-13
Piranha,R
Cam,TV-MA
Braven,R
The Golden Child,PG-13
American Outlaws,PG-13
Playing It Cool,R
Hardware,R
Who's Harry Crumb?,PG-13
Deathwatch,R
Hyde Park on Hudson,R
The Darwin Awards,R
The Ringer,PG-13
The Reef,R
100 Girls,R
Dual,R
And So It Goes,PG-13
The Tunnel,Not Rated
The Last Five Years,PG-13
The Chase,PG-13
Management,R
Ginger Snaps Back: The Beginning,R
Wilson,R
The Descent: Part 2,R
Journey 2: The Mysterious Island,PG
The Princess,R
Aftermath,R
Little Evil,TV-MA
Pet,R
Close,TV-MA
Nowhere to Run,R
The Paramedic,TV-MA
The Love Punch,PG-13
Dennis the Menace,PG
The Package,TV-MA
Ice Age: Collision Course,PG
The War with Grandpa,PG
Clean,Not Rated
Ghosts of War,R
Jenny's Wedding,PG-13
Tracers,PG-13
Below Her Mouth,Not Rated
Hostel: Part II,R
Once Bitten,PG-13
Cheaper by the Dozen 2,PG
The Lizzie McGuire Movie,PG
Whatever It Takes,PG-13
Ratchet & Clank,PG
CubeÂ²: Hypercube,R
Teeth,R
The Spy Next Door,PG
What's the Worst That Could Happen?,PG-13
Boys and Girls,PG-13
The Guru,R
Spring Breakers,R
The New Mutants,PG-13
Can You Keep a Secret?,TV-MA
The 15:17 to Paris,PG-13
Honey,PG-13
Once Upon a Time in Venice,Not Rated
Into the Grizzly Maze,R
Poker Face,
Open Water 2: Adrift,R
The Thaw,R
Ibiza,TV-MA
Clockstoppers,PG
Father of the Year,TV-14
Voice from the Stone,R
Empire State,R
Bushwick,TV-MA
Pay the Ghost,Not Rated
Sex Tape,R
Nothing But Trouble,PG-13
My Favorite Martian,PG
So Undercover,PG-13
American Heist,R
Boat Trip,R
Trainspotting,R
Hachi: A Dog's Tale,G
The Third Man,Approved
Day of the Wacko,Not Rated
Annie Hall,PG
Song of the Sea,PG
A Christmas Story,PG
Beauty and the Beast,Not Rated
Bang Bang You're Dead,R
First Blood,R
Blazing Saddles,R
Scarface,PG
Rushmore,R
"Planes, Trains & Automobiles",R
The Warriors,R
Source Code,PG-13
Love Me If You Dare,R
The Phantom of the Opera,Passed
Eighth Grade,R
Entergalactic,TV-MA
"Good Night, and Good Luck.",PG
Hercules,G
Shrek 2,PG
I Stand Alone,Not Rated
Run Silent Run Deep,Approved
Chinese Take-Out,Not Rated
13,Not Rated
Ben X,Not Rated
Lammbock,Not Rated
Beasts of the Southern Wild,PG-13
Hard Times,PG
UtÃ¸ya: July 22,Not Rated
"Dragon Ball Z: Resurrection ""F""",Not Rated
Le Havre,Not Rated
Rams,R
Brave,PG
The Dark Crystal,PG
Whatever Works,PG-13
Metallica Through the Never,R
Klown,R
Sixteen Candles,PG
Breakdown,R
Enough Said,PG-13
Goodbye Berlin,
Swimming with Sharks,R
Red,R
Death Wish,R
I Don't Feel at Home in This World Anymore,TV-MA
Sisters,R
Ruthless People,R
Saving Grace,R
Kill Zone,Not Rated
Lebanon,R
The Skeleton Twins,R
Madagascar 3: Europe's Most Wanted,PG
Bugsy Malone,G
Teenage Mutant Ninja Turtles,PG
The Good Dinosaur,PG
Streets of Fire,PG
The Old Man & the Gun,PG-13
Blood and Bone,R
Turbo Kid,Not Rated
Missing Link,PG
Please Stand By,PG-13
The Perfect Host,R
In a World...,R
Fido,R
Saw II,R
May,R
All of Me,PG
Rock 'n' Roll High School,PG
Last Chance Harvey,PG-13
King of California,PG-13
Road Trip,R
The Mechanic,R
His House,TV-14
Last Night,R
The Double,R
Pontypool,Not Rated
Renfield,R
"Honey, I Shrunk the Kids",PG
Big Daddy,PG-13
Accepted,PG-13
Hell House LLC,Not Rated
So I Married an Axe Murderer,PG-13
One Crazy Summer,PG
The Good Girl,R
Parkland,PG-13
The Man with Two Brains,R
Hunter Hunter,Unrated
Fierce Creatures,PG-13
Alps,Not Rated
A Good Woman,PG
You Kill Me,R
Scouts Guide to the Zombie Apocalypse,R
The Beguiled,R
Blades of Glory,PG-13
Bill & Ted's Bogus Journey,PG
Radius,Not Rated
Chemical Hearts,R
Blue Streak,PG-13
7500,R
Resolution,Not Rated
Threesome,R
13 Sins,R
Formula 51,R
Little Monsters,R
Ordinary Decent Criminal,R
"As Above, So Below",R
Lovelace,R
Frozen,R
The Silencing,R
How High,R
Stuber,R
Land of the Dead,R
Peter Rabbit 2: The Runaway,PG
The Whole Truth,R
Tales from the Darkside: The Movie,R
City of the Living Dead,Not Rated
Mr. Magorium's Wonder Emporium,G
Meet Bill,R
Sweet Virginia,R
One Night at McCool's,R
Assassination of a High School President,R
Cujo,R
Shrek the Third,PG
Bedazzled,PG-13
House,R
Heist,R
She's Funny That Way,R
Work It,TV-14
Dom Hemingway,R
The Tale of Despereaux,G
Cut Bank,R
Black Butterfly,R
Code 46,R
Wilderness,R
Becky,R
Pink Flamingos,NC-17
Valhalla Rising,Not Rated
The Lair of the White Worm,R
Moonwalker,PG
The Night Eats the World,TV-14
Senseless,R
Birthday Girl,R
Anna and the Apocalypse,R
Saw IV,R
Vegas Vacation,PG
The Wraith,PG-13
Look Who's Talking,PG-13
The Blackcoat's Daughter,R
54,R
Iron Sky,R
Spree,Not Rated
Marked for Death,R
Final Destination 3,R
Journey to the Center of the Earth,PG
Ken Park,Not Rated
Over the Top,PG
Pitch Perfect 3,PG-13
Thinner,R
21 & Over,R
Haywire,R
Passengers,PG-13
24 Hours to Live,R
Sgt. Bilko,PG
PokÃ©mon 3 the Movie: Spell of the Unown,G
Would You Rather,Not Rated
The Pink Panther,PG
Flowers in the Attic,PG-13
Bandidas,PG-13
The Perfect Score,PG-13
The English Teacher,R
Premature,R
Beast,R
Cabin Fever,R
House on Haunted Hill,R
Scoob!,PG
A Nightmare on Elm Street 4: The Dream Master,R
Hatchet,R
Twelve,R
Detention,R
The Killing Room,R
Hypnotic,R
65,PG-13
You Should Have Left,R
Turistas,R
Poison Ivy,R
Ã†on Flux,PG-13
The Hustle,PG-13
Overdrive,PG-13
Psycho III,R
The Addams Family 2,PG
Battle for the Planet of the Apes,G
Sorority Boys,R
Bullet Head,R
The Broken,R
Prey for the Devil,PG-13
Red Dawn,PG-13
The Stepford Wives,PG-13
The Final,R
Flubber,PG
Blank Check,PG
The Dark,R
The Brothers Solomon,R
Tim and Eric's Billion Dollar Movie,R
Spiral,R
Lie with Me,Not Rated
Bait,R
The Curse of La Llorona,R
Scooby-Doo 2: Monsters Unleashed,PG
Falling for Christmas,TV-PG
Cannibal Ferox,
Stormbreaker,PG
Don't Knock Twice,R
Hot Tub Time Machine 2,R
Iron Sky: The Coming Race,Not Rated
Deck the Halls,PG
The Brown Bunny,Not Rated
The Cold Light of Day,PG-13
Poltergeist,PG-13
Maratonci trce pocasni krug,
"When I Grow Up, I'll Be a Kangaroo",
I Am a Fugitive from a Chain Gang,Passed
"Monsters, Inc.",G
Mary and Max,Not Rated
Farha,TV-14
The Night of the Hunter,Not Rated
Ali: Fear Eats the Soul,Not Rated
Toy Story 2,G
The Day the Earth Stood Still,G
His Girl Friday,Passed
Tokyo Godfathers,PG-13
Fury,Not Rated
Le Corbeau,Not Rated
Clerks,R
Kung Fu Panda,PG
Three Colors: White,R
3:10 to Yuma,Not Rated
Winchester '73,Passed
Closely Watched Trains,Not Rated
Beetlejuice,PG
Boiling Point,R
Thank You for Smoking,R
Tyrannosaur,Not Rated
Support Your Local Sheriff!,G
Nobody,R
Notes on a Scandal,R
Shoot the Piano Player,Not Rated
Suspiria,R
The Last Unicorn,G
Tender Mercies,PG
Point Blank,Not Rated
Beau travail,Unrated
Red Dog,PG
My Favorite Year,PG
Interiors,PG
The Lodger: A Story of the London Fog,Not Rated
"Don't Worry, I'm Fine",
The Super Mario Bros. Movie,PG
Timecrimes,R
Bad Santa,R
Help!,G
Father of the Bride,Not Rated
Under the Sand,Unrated
"He Loves Me, He Loves Me Not",PG-13
Shotgun Stories,PG-13
The VVitch: A New-England Folktale,R
Happy Gilmore,PG-13
Easy A,PG-13
Bronson,R
Rambo,R
Perfect Sense,R
Hairspray,PG
ParaNorman,PG
Niagara,Not Rated
Miss Pettigrew Lives for a Day,PG-13
Thunder Road,
Heavy Trip,
Barda,
If Only,PG-13
Pig,R
Repo Man,R
Another Earth,PG-13
Bubba Ho-Tep,R
Shadow of the Vampire,R
Lord of the Flies,Not Rated
This Beautiful Fantastic,PG
Tales from the Crypt,PG
Bloodsport,R
The Transporter,PG-13
A Ghost Story,R
Mr. Peabody & Sherman,PG
History of the World: Part I,R
Goon,R
Night of the Living Dead,R
The Brood,R
Dodgeball: A True Underdog Story,PG-13
Saved!,PG-13
The Salvation,R
Tales from the Crypt: Demon Knight,R
Ju-on: The Grudge,R
Starter for 10,PG-13
Behind the Mask: The Rise of Leslie Vernon,R
Flirting with Disaster,R
The Last Supper,R
Don't Think Twice,R
The Fury of a Patient Man,TV-MA
EuroTrip,R
Thoroughbreds,R
Penguins of Madagascar,PG
Celeste & Jesse Forever,R
A Rainy Day in New York,PG-13
Underworld: Rise of the Lycans,R
Halloween II,R
Foxy Brown,R
Jackass Presents: Bad Grandpa,R
Trolls,PG
National Lampoon's Van Wilder,R
Hancock,PG-13
From Paris with Love,R
London,R
Choke,R
Juan of the Dead,Not Rated
Bastille Day,R
Haunt,R
It Boy,Not Rated
Romy and Michele's High School Reunion,R
Before I Go to Sleep,R
The Sentinel,R
Lost Bullet,TV-MA
Hamlet 2,R
Ju-On: The Grudge 2,R
Dracula Untold,PG-13
Idle Hands,R
Taken 2,PG-13
Airheads,PG-13
Lions for Lambs,R
The Ice Harvest,R
Berberian Sound Studio,Not Rated
My Sassy Girl,PG-13
Extract,R
Uptown Girls,PG-13
Someone Great,R
Grave Encounters,Not Rated
Down Periscope,PG-13
Raising Cain,R
The Cottage,Unrated
Stockholm,R
Knockaround Guys,R
According to Greta,PG-13
Brake,R
Backcountry,R
The SpongeBob Movie: Sponge Out of Water,PG
Unfriended: Dark Web,R
Creepshow 2,R
Dream House,PG-13
The Caller,R
Jurassic Park III,PG-13
Nacho Libre,PG
Final Destination 5,R
The Possession,PG-13
Freaks of Nature,R
The Prodigy,R
Life Stinks,PG-13
G.B.F.,R
Demons 2,R
Saw V,R
Morgan,R
The Haunting in Connecticut,PG-13
The Forger,R
Let It Snow,PG-13
Let Us Prey,Not Rated
A Christmas Prince,TV-PG
The Canal,Not Rated
Jigsaw,R
Goodnight Mommy,R
Neighbors 2: Sorority Rising,R
Silent Night,
Orca,PG
Death at a Funeral,R
Windfall,R
Bullet to the Head,R
Office Uprising,TV-MA
Love Potion No. 9,PG-13
The Man with One Red Shoe,PG
The Hole,PG-13
Bad Teacher,R
Children of the Corn,R
Fantastic Four: Rise of the Silver Surfer,PG
Daddy Day Care,PG
Wild Card,R
The Pink Panther 2,PG
Good on Paper,Unrated
Unicorn Store,TV-PG
Bad Santa 2,R
The Knight Before Christmas,TV-PG
George of the Jungle,PG
The Scorpion King,PG-13
Howl,Not Rated
Wildling,R
Ernest Goes to Camp,PG
The Dentist,R
The Trust,R
I Am Wrath,R
Balls Out: Gary the Tennis Coach,R
Intrusion,TV-14
Prom Night,R
Woman on Top,R
A Christmas Prince: The Royal Wedding,TV-PG
Alvin and the Chipmunks,PG
Cherry Falls,R
Vamps,PG-13
Friend Request,R
The Three Stooges,PG
"I, Frankenstein",PG-13
I Spit on Your Grave: Vengeance Is Mine,Unrated
Return to Sender,Not Rated
Everly,R
The Beverly Hillbillies,PG
Blankman,PG-13
Rage,Not Rated
Alvin and the Chipmunks: The Road Chip,PG
The Chaos Class Failed the Class,
From the Village to the City,
Monty Python and the Holy Grail,PG
Wild Strawberries,Not Rated
Viridiana,Not Rated
Cries & Whispers,R
The Thin Man,TV-PG
Harold and Maude,PG
Elevator to the Gallows,Not Rated
The Umbrellas of Cherbourg,Not Rated
Halloween,R
Gravity,PG-13
Watership Down,PG
Twin Peaks: The Missing Pieces,
Stolen Kisses,R
The Ladykillers,Not Rated
A Nightmare on Elm Street,R
From Up on Poppy Hill,PG
Saving Face,R
Paradise Now,PG-13
The Return of the Living Dead,R
Assault on Precinct 13,R
Phantom of the Paradise,PG
Waking Ned Devine,PG
The Naked Spur,Passed
In China They Eat Dogs,Not Rated
La ChÃ¨vre,
The Selfish Giant,Not Rated
The Full Monty,R
Friday,R
The Darjeeling Limited,R
Django,Not Rated
Broken,Not Rated
A Mighty Wind,PG-13
Me and You and Everyone We Know,R
Gentlemen Prefer Blondes,Approved
The Fearless Vampire Killers,Not Rated
The Driver,R
Bella,PG-13
Little Nicholas,Not Rated
Pee-wee's Big Adventure,PG
Kids,Unrated
The Outsiders,PG
Greyhound,PG-13
Hotel Transylvania,PG
The Hunchback of Notre Dame,G
The Little Girl Who Lives Down the Lane,PG
The One I Love,R
Rabbit Hole,PG-13
Iris,R
Angel-A,R
Dog Pound,Not Rated
Story of Ricky,R
Sisu,R
Enemy,R
Rocky IV,PG
Bottle Rocket,R
Babe,G
Supercop,R
Big Time Adolescence,R
Gridlock'd,R
The Witches,PG
Ice Age: The Meltdown,PG
Sunshine Cleaning,R
Zombie,R
The Football Factory,R
Eden Lake,R
High Tension,R
The Vast of Night,PG-13
Slums of Beverly Hills,R
The Quiet Earth,R
Comet,R
Restless,PG-13
The Miseducation of Cameron Post,Not Rated
The Great Outdoors,PG
Monster House,PG
Mr. Mom,PG
Midnight Sun,PG-13
The Beaver,PG-13
River of No Return,Approved
Small Town Crime,R
The Girl Next Door,R
Evil Dead,R
The Howling,R
The Final Girls,PG-13
Bad Taste,Not Rated
Premium Rush,PG-13
The Notorious Bettie Page,R
Paulie,PG
Robots,PG
Minions,PG
Incident in a Ghostland,Not Rated
The Money Pit,PG
A Boy and His Dog,R
White Bird in a Blizzard,R
Blow the Man Down,R
Ideal Home,Not Rated
Free Fire,R
The Burning,R
Rabid,R
The Dead Pool,R
Dead Snow,Not Rated
Alien Nation,R
Cyrus,R
Rush Hour 3,PG-13
It Comes at Night,R
Hatching,
Galveston,Not Rated
"My Son, My Son, What Have Ye Done",R
Better Living Through Chemistry,Not Rated
Teen Wolf,PG
Trolls World Tour,PG
Bee Movie,PG
Alligator,R
Basket Case,Not Rated
Dark Angel,R
Out for Justice,R
Burke and Hare,R
Joe Dirt,PG-13
All the Right Moves,R
Friday the 13th: The Final Chapter,R
The Big Hit,R
Margot at the Wedding,R
13,R
Planet 51,PG
The Machine,R
Phantasm III: Lord of the Dead,R
Candyman,R
The Grudge,PG-13
Bill & Ted Face the Music,PG-13
The SpongeBob Movie: Sponge on the Run,PG
Canadian Bacon,PG
Very Good Girls,R
Street Trash,Unrated
The Night Listener,R
Semi-Pro,R
The Texas Chainsaw Massacre: The Beginning,R
Looney Tunes: Back in Action,PG
Drive Me Crazy,PG-13
The Forgotten,PG-13
Free Birds,PG
A Thousand Words,PG-13
Wind Chill,R
Underworld: Blood Wars,R
Planes,PG
Paranormal Activity 2,R
Ernest Scared Stupid,PG
Earth to Echo,PG
Reasonable Doubt,R
King Kong vs. Godzilla,Not Rated
Thir13en Ghosts,R
Ghost Ship,R
Jolt,R
The Ice Pirates,PG
Fist Fight,R
Poltergeist II: The Other Side,PG-13
The Woods,R
Beyond the Reach,R
Dead Birds,R
The Happytime Murders,R
When in Rome,PG-13
The Hunter's Prayer,R
Taxi 4,Not Rated
The Great White Hype,R
Follow Me,R
The Monster,R
Killing Season,R
Unfinished Business,R
Absolutely Fabulous: The Movie,R
The Glimmer Man,R
Surviving Christmas,PG-13
Sleepwalkers,R
Trespass,R
Swamp Thing,PG
One for the Money,PG-13
D.E.B.S.,PG-13
The Resident,R
Wolves,R
Blood: The Last Vampire,R
Wrecked,R
Celtic Pride,PG-13
Fallen,PG-13
Paul Blart: Mall Cop,PG
Cult of Chucky,R
We Summon the Darkness,R
Catch That Kid,PG
License to Wed,PG-13
The Breed,R
And Soon the Darkness,R
The Houses October Built,Not Rated
The Happening,R
The Flintstones,PG
Down to You,PG-13
Elephant White,R
New York Minute,PG
Tosun Pasa,
"Saban, Son of Saban",
Selvi Boylum Al Yazmalim,
The Color of Paradise,PG
Aladdin,G
The Last Laugh,Not Rated
Shrek,PG
Hiroshima Mon Amour,Not Rated
ClÃ©o from 5 to 7,Not Rated
Through a Glass Darkly,Not Rated
Sullivan's Travels,Passed
Taken,PG-13
Paprika,R
Marcel the Shell with Shoes On,PG
Flipped,PG
Breathless,Not Rated
Marty,Not Rated
The Awful Truth,Passed
Dead Man's Shoes,Not Rated
Eyes Without a Face,Not Rated
Beautiful Thing,R
A Quiet Place,PG-13
Living in Oblivion,R
Hour of the Wolf,Not Rated
La fille sur le pont,R
The Mountain,
Palm Springs,R
Best in Show,PG-13
Little Manhattan,PG
Identity,R
Death at a Funeral,R
Anomalisa,R
Targets,R
Snake in the Eagle's Shadow,PG
Kung Fu Panda 2,PG
Top Secret!,PG
The Way of the Dragon,R
Mean Creek,R
The Brave Little Toaster,G
It's All Gone Pete Tong,R
Broken Blossoms or the Yellow Man and the Girl,Not Rated
The Gilded Cage,G
Fast Times at Ridgemont High,R
Cube,R
Black Mirror: Bandersnatch,TV-MA
Blue Ruin,R
The Gendarme of Saint-Tropez,
The Bow,Not Rated
White Dog,PG
Ã‡algi Ã‡engi,
Flight of the Navigator,PG
Bill & Ted's Excellent Adventure,PG
Cloudy with a Chance of Meatballs,PG
Infinitely Polar Bear,R
The Place Promised in Our Early Days,TV-PG
Alan Partridge,R
The Isle,Not Rated
Serendipity,PG-13
Coffy,R
Toc Toc,TV-MA
Nothing to Hide,TV-MA
Good Boys,R
Run,PG-13
Commando,R
Rush Hour 2,PG-13
Empire Records,PG-13
Imagine Me & You,R
The Professor,R
Your Sister's Sister,R
A Monster in Paris,PG
Kopps,
Saints and Soldiers,PG-13
Revenge of the Nerds,R
Puss in Boots,PG
Tuck Everlasting,PG
Nick and Norah's Infinite Playlist,PG-13
Vantage Point,PG-13
Strange Brew,PG
Dracula: Prince of Darkness,Unrated
"Hello, My Name Is Doris",R
The Big Kahuna,R
Five Times Two,R
The Hunt,R
Zoolander,PG-13
Don Jon,R
Fanboys,PG-13
Johnny Dangerously,PG-13
Barefoot,PG-13
Enter Nowhere,R
Ace Ventura: When Nature Calls,PG-13
Mr. Bean's Holiday,G
Lord of the Flies,R
Compliance,R
Our Idiot Brother,R
City of Ember,PG
In & Out,PG-13
Factory Girl,R
The Swan Princess,G
Europa Report,PG-13
Love & Friendship,PG
The Willoughbys,PG
Forsaken,R
